iter	Passed	Remaining
157	413	2206
158	415	2199
159	417	2191
160	418	2182
161	421	2178
162	423	2172
163	424	2163
164	426	2158
165	428	2150
166	429	2142
167	431	2134
168	433	2130
169	434	2122
170	436	2115
171	437	2108
172	439	2101
173	441	2093
174	442	2086
175	444	2079
176	445	2071
177	447	2064
178	449	2059
179	450	2052
180	452	2045
181	454	2040
182	455	2033
183	456	2026
184	458	2020
185	460	2013
186	461	2006
187	462	1999
188	464	1994
189	466	1987
190	467	1981
191	469	1974
192	470	1969
193	472	1963
194	474	1956
195	475	1951
196	477	1945
197	479	1941
198	481	1936
199	482	1930
200	484	1924
201	485	1918
202	487	1914
203	489	1908
204	490	1902
205	492	1898
206	494	1892
207	495	1886
208	498	1885
209	499	1880
210	501	1875
211	503	1871
212	505	1866
213	506	1860
214	508	1856
215	509	1850
216	511	1845
217	512	1839
218	514	1835
219	516	1829
220	517	1824
221	519	1821
222	521	1816
223	522	1811
224	524	1807
225	526	1802
226	527	1797
227	529	1793
228	531	1789
229	532	1784
230	534	1779
231	536	1776
232	538	1772
233	539	1767
234	543	1767
235	544	1763
236	546	1758
237	548	1755
238	549	1750
239	551	1746
240	553	1742
241	554	1737
242	556	1732
243	558	1730
244	560	1726
245	561	1721
246	563	1719
247	565	1714
248	566	1709
249	569	1708
250	570	1703
251	572	1699
252	574	1696
253	576	1692
254	577	1687
255	579	1683
256	580	1679
257	582	1674
258	583	1670
259	585	1666
260	587	1662
261	588	1658
262	590	1653
263	592	1651
264	593	1647
265	595	1642
266	597	1639
267	598	1635
268	600	1631
269	601	1627
270	603	1622
271	604	1618
272	606	1615
273	608	1611
274	609	1607
275	611	1603
276	612	1599
277	614	1595
278	615	1591
279	617	1587
280	618	1583
281	620	1580
282	622	1576
283	624	1573
284	625	1569
285	626	1565
286	628	1561
287	630	1557
288	631	1553
289	632	1549
290	634	1546
291	636	1542
292	637	1539
293	639	1535
294	640	1531
295	642	1528
296	643	1524
297	645	1520
298	647	1516
299	648	1513
300	649	1509
301	651	1506
302	653	1502
303	654	1499
304	656	1495
305	657	1492
306	659	1488
307	660	1484
308	662	1481
309	663	1477
310	665	1474
311	666	1470
312	668	1468
313	670	1464
314	671	1461
315	673	1458
316	675	1454
317	676	1450
318	678	1448
319	680	1445
320	681	1441
321	683	1438
322	684	1435
323	686	1431
324	687	1428
325	689	1424
326	690	1421
327	692	1418
328	693	1415
329	695	1412
330	697	1409
331	698	1405
332	700	1402
333	701	1399
334	703	1395
335	704	1392
336	706	1390
337	708	1386
338	709	1383
339	711	1380
340	712	1377
341	714	1374
342	716	1371
343	717	1368
344	719	1365
345	720	1362
346	722	1360
347	724	1357
348	725	1354
349	728	1352
350	729	1349
351	731	1346
352	733	1343
353	734	1340
354	736	1337
355	737	1334
356	739	1331
357	740	1328
358	742	1325
359	744	1323
360	746	1320
361	747	1317
362	749	1314
363	751	1312
364	752	1309
365	754	1306
366	755	1303
367	757	1300
368	758	1297
369	760	1294
370	761	1291
371	763	1288
372	765	1287
373	767	1285
374	769	1282
375	770	1279
376	772	1277
377	774	1274
378	775	1270
379	777	1268
380	779	1265
381	780	1262
382	782	1259
383	783	1257
384	785	1254
385	786	1251
386	788	1248
387	789	1245
388	791	1242
389	792	1239
390	794	1237
391	795	1234
392	797	1231
393	798	1228
394	800	1225
395	801	1222
396	803	1219
397	804	1217
398	806	1214
399	807	1211
400	809	1209
401	811	1207
402	812	1204
403	814	1201
404	815	1198
405	817	1195
406	819	1193
407	820	1191
408	822	1188
409	824	1186
410	826	1184
411	828	1181
412	829	1178
413	830	1176
414	832	1173
415	834	1170
416	835	1168
417	837	1165
418	838	1163
419	840	1160
420	844	1161
421	847	1160
422	849	1159
423	851	1156
424	854	1155
425	856	1154
426	858	1152
427	860	1150
428	862	1148
429	864	1146
430	866	1143
431	868	1141
432	870	1139
433	872	1137
434	874	1135
435	876	1133
436	877	1131
437	879	1128
438	881	1126
439	883	1124
440	885	1122
441	887	1120
442	889	1118
443	891	1116
444	893	1114
445	895	1111
446	897	1109
447	898	1107
448	900	1105
449	902	1103
450	905	1101
451	907	1099
452	909	1097
453	911	1095
454	913	1093
